

./CPP_Code/Graph1.txt


Best Cost =4189.000000
0	15
1	4
2	3
3	2
4	6
5	5
6	0
7	1
8	7
9	9
10	12
11	13
12	11
13	8
14	10
15	14


./CPP_Code/Graph1.txt


Best Cost =4189.000000
0	11
1	8
2	10
3	14
4	7
5	9
6	12
7	13
8	6
9	5
10	0
11	1
12	15
13	4
14	3
15	2


./CPP_Code/Graph1.txt


Best Cost =4189.000000
0	11
1	8
2	12
3	13
4	7
5	9
6	10
7	14
8	6
9	5
10	0
11	1
12	15
13	4
14	3
15	2
